,Year,Day,Month,New_rate,Date
824,1982,12,Jul,12.25,1982-07-12
825,1982,13,Jul,12.125,1982-07-13
826,1982,21,Jul,12.0625,1982-07-21
827,1982,26,Jul,11.9375,1982-07-26
828,1982,28,Jul,11.8125,1982-07-28
829,1982,29,Jul,11.75,1982-07-29
830,1982,30,Jul,11.625,1982-07-30
831,1982,2,Aug,11.5625,1982-08-02
832,1982,4,Aug,11.5,1982-08-04
833,1982,16,Aug,11.375,1982-08-16
834,1982,17,Aug,11.25,1982-08-17
835,1982,24,Aug,11.125,1982-08-24
836,1982,25,Aug,11.0,1982-08-25
837,1982,26,Aug,10.875,1982-08-26
838,1982,27,Aug,10.625,1982-08-27
839,1982,27,Sep,10.5,1982-09-27
840,1982,28,Sep,10.375,1982-09-28
841,1982,29,Sep,10.25,1982-09-29
842,1982,30,Sep,10.125,1982-09-30
843,1982,12,Oct,9.625,1982-10-12
844,1982,1,Nov,9.375,1982-11-01
845,1982,2,Nov,9.125,1982-11-02
846,1982,26,Nov,10.0,1982-11-26
848,1983,12,Jan,11.0,1983-01-12
849,1983,15,Mar,10.5625,1983-03-15
850,1983,13,Apr,10.3125,1983-04-13
851,1983,14,Apr,10.0625,1983-04-14
852,1983,13,Jun,9.8125,1983-06-13
853,1983,14,Jun,9.5625,1983-06-14
854,1983,9,Aug,9.4375,1983-08-09
855,1983,10,Aug,9.5625,1983-08-10
856,1983,3,Oct,9.0625,1983-10-03
858,1984,7,Mar,8.8125,1984-03-07
859,1984,14,Mar,8.5625,1984-03-14
860,1984,10,may,9.0625,1984-05-10
861,1984,29,Jun,8.875,1984-06-29
862,1984,6,Jul,10.0,1984-07-06
863,1984,11,Jul,12.0,1984-07-11
864,1984,8,Aug,11.5,1984-08-08
865,1984,9,Aug,11.0,1984-08-09
866,1984,16,Aug,10.75,1984-08-16
867,1984,17,Aug,10.5,1984-08-17
868,1984,5,Nov,10.0,1984-11-05
869,1984,19,Nov,9.75,1984-11-19
870,1984,23,Nov,9.5,1984-11-23
872,1985,14,Jan,11.875,1985-01-14
873,1985,28,Jan,13.875,1985-01-28
874,1985,20,Mar,13.375,1985-03-20
875,1985,28,Mar,12.875,1985-03-28
876,1985,19,Apr,12.375,1985-04-19
877,1985,11,Jul,11.875,1985-07-11
878,1985,26,Jul,11.375,1985-07-26
880,1986,15,Jan,12.375,1986-01-15
881,1986,19,Mar,11.375,1986-03-19
882,1986,11,Apr,10.875,1986-04-11
883,1986,18,Apr,10.375,1986-04-18
884,1986,23,May,9.875,1986-05-23
885,1986,15,Oct,10.875,1986-10-15
887,1987,9,Mar,10.375,1987-03-09
888,1987,18,Mar,9.875,1987-03-18
889,1987,28,Apr,9.375,1987-04-28
890,1987,8,May,8.875,1987-05-08
891,1987,6,Aug,9.875,1987-08-06
892,1987,23,Oct,9.375,1987-10-23
893,1987,4,Nov,8.875,1987-11-04
894,1987,3,Dec,8.375,1987-12-03
896,1988,1,Feb,8.875,1988-02-01
897,1988,17,Mar,8.375,1988-03-17
898,1988,8,Apr,7.875,1988-04-08
899,1988,17,May,7.375,1988-05-17
900,1988,3,Jun,7.875,1988-06-03
901,1988,10,Jun,8.375,1988-06-10
902,1988,24,Jun,8.875,1988-06-24
903,1988,7,Jul,9.875,1988-07-07
904,1988,21,Jul,10.375,1988-07-21
905,1988,8,Aug,10.875,1988-08-08
906,1988,25,Aug,11.875,1988-08-25
907,1988,25,Nov,12.875,1988-11-25
909,1989,25,May,13.75,1989-05-25
910,1989,31,Aug,13.8438,1989-08-31
911,1989,4,Sep,13.875,1989-09-04
912,1989,8,Sep,13.75,1989-09-08
913,1989,6,Oct,14.875,1989-10-06
915,1990,8,Oct,13.875,1990-10-08
917,1991,13,Feb,13.375,1991-02-13
918,1991,27,Feb,12.875,1991-02-27
919,1991,22,Mar,12.375,1991-03-22
920,1991,12,Apr,11.875,1991-04-12
921,1991,24,May,11.375,1991-05-24
922,1991,12,Jul,10.875,1991-07-12
923,1991,4,Sep,10.375,1991-09-04
925,1992,5,May,9.875,1992-05-05
926,1992,22,Sep,8.875,1992-09-22
927,1992,16,Oct,7.875,1992-10-16
928,1992,13,Nov,6.875,1992-11-13
930,1993,26,Jan,5.875,1993-01-26
931,1993,23,Nov,5.375,1993-11-23
933,1994,8,Feb,5.125,1994-02-08
934,1994,12,Sep,5.625,1994-09-12
935,1994,7,Dec,6.125,1994-12-07
937,1995,2,Feb,6.625,1995-02-02
938,1995,13,Dec,6.375,1995-12-13
940,1996,18,Jan,6.125,1996-01-18
941,1996,8,Mar,5.9375,1996-03-08
942,1996,6,Jun,5.6875,1996-06-06
943,1996,30,Oct,5.9375,1996-10-30
947,1997,6,May,6.25,1997-05-06
948,1997,6,Jun,6.5,1997-06-06
949,1997,10,Jul,6.75,1997-07-10
950,1997,7,Aug,7.0,1997-08-07
951,1997,6,Nov,7.25,1997-11-06
953,1998,4,Jun,7.5,1998-06-04
954,1998,8,Oct,7.25,1998-10-08
955,1998,5,Nov,6.75,1998-11-05
956,1998,10,Dec,6.25,1998-12-10
958,1999,7,Jan,6.0,1999-01-07
959,1999,4,Feb,5.5,1999-02-04
960,1999,8,Apr,5.25,1999-04-08
961,1999,10,Jun,5.0,1999-06-10
962,1999,8,Sep,5.25,1999-09-08
963,1999,4,Nov,5.5,1999-11-04
965,2000,13,Jan,5.75,2000-01-13
966,2000,10,Feb,6.0,2000-02-10
968,2001,8,Feb,5.75,2001-02-08
969,2001,5,Apr,5.5,2001-04-05
970,2001,10,May,5.25,2001-05-10
971,2001,2,Aug,5.0,2001-08-02
972,2001,18,Sep,4.75,2001-09-18
973,2001,4,Oct,4.5,2001-10-04
974,2001,8,Nov,4.0,2001-11-08
976,2003,6,Feb,3.75,2003-02-06
977,2003,10,Jul,3.5,2003-07-10
978,2003,6,Nov,3.75,2003-11-06
980,2004,5,Feb,4.0,2004-02-05
981,2004,6,May,4.25,2004-05-06
982,2004,10,Jun,4.5,2004-06-10
983,2004,5,Aug,4.75,2004-08-05
985,2005,4,Aug,4.5,2005-08-04
989,2006,3,Aug,4.75,2006-08-03
990,2006,9,Nov,5.0,2006-11-09
992,2007,11,Jan,5.25,2007-01-11
993,2007,10,May,5.5,2007-05-10
994,2007,5,July,5.75,2007-07-05
995,2007,6,Dec,5.5,2007-12-06
997,2008,7,Feb,5.25,2008-02-07
998,2008,10,April,5.0,2008-04-10
999,2008,8,Oct,4.5,2008-10-08
1000,2008,6,Nov,3.0,2008-11-06
1001,2008,4,Dec,2.0,2008-12-04
1003,2009,8,Jan,1.5,2009-01-08
1004,2009,5,Feb,1.0,2009-02-05
1005,2009,5,Mar,0.5,2009-03-05
1007,2016,4,Aug,0.25,2016-08-04
1009,2017,2,Nov,0.5,2017-11-02
1011,2018,2,Aug ,0.75,2018-08-02
1013,2020,11,Mar,0.25,2020-03-11
1014,2020,19,Mar,0.1,2020-03-19
1016,2021,16,Dec,0.25,2021-12-16
1018,2022,3,Feb,0.5,2022-02-03
1019,2022,17,Mar,0.75,2022-03-17
1020,2022,5,May,1.0,2022-05-05
1021,2022,16,Jun,1.25,2022-06-16
1022,2022,4,Aug,1.75,2022-08-04
1023,2022,22,Sep,2.25,2022-09-22
1024,2022,3,Nov,3.0,2022-11-03
1025,2022,15,Dec,3.5,2022-12-15
1027,2023,2,Feb,4.0,2023-02-02
1028,2023,23,Mar,4.25,2023-03-23
1029,2023,11,May,4.5,2023-05-11
1030,2023,22,Jun,5.0,2023-06-22
